timestamp,pod,status,memory_current_mi,memory_events_high,memory_events_oom_kill
2026-06-07T23:14:40-04:00,aggressor,Running,13084,3058,0
2026-06-07T23:14:42-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:42-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:42-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:42-04:00,aggressor,Running,13061,7760,0
2026-06-07T23:14:45-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:45-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:45-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:45-04:00,aggressor,Running,13086,11697,0
2026-06-07T23:14:47-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:47-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:47-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:47-04:00,aggressor,Running,13095,16202,0
2026-06-07T23:14:49-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:49-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:49-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:49-04:00,aggressor,Running,13102,20330,0
2026-06-07T23:14:51-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:51-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:51-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:51-04:00,aggressor,Running,13107,24186,0
2026-06-07T23:14:54-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:54-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:54-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:54-04:00,aggressor,Running,13125,28180,0
2026-06-07T23:14:56-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:56-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:56-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:56-04:00,aggressor,Running,13148,31788,0
2026-06-07T23:14:58-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:58-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:58-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:58-04:00,aggressor,Running,13161,34724,0
2026-06-07T23:15:01-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:01-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:15:01-04:00,besteffort-holder,Running,205,0,0
